Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
carballo,com.alonsoruibal.chess,MoveGenerationPerftTest,testPosition3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
carballo,com.alonsoruibal.chess,MoveGenerationPerftTest,testPosition4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
carballo,com.alonsoruibal.chess,MoveGenerationPerftTest,testPosition5,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
carballo,com.alonsoruibal.chess,EndgameTest,testKNBK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,EndgameTest,testKPK,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
carballo,com.alonsoruibal.chess,EndgameTest,testKRPKRDraw,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,EndgameTest,testKRKR,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
carballo,com.alonsoruibal.chess,EndgameTest,testKRPKP,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,TranspositionTableTest,testTraspositionTable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
carballo,com.alonsoruibal.chess,BoardTest,testXFen,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,BoardTest,testMoveNumber3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
carballo,com.alonsoruibal.chess,BoardTest,testPassedPawn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
carballo,com.alonsoruibal.chess,SearchEngineTest,testRefine,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
